"pca1" "pca2" "population"
0.006 0.0024 "CEU"
0.0044 0.0024 "CEU"
0.0058 0.0038 "CEU"
0.0053 0.002 "CEU"
0.0048 0.0027 "CEU"
0.0056 0.0033 "CEU"
0.0053 0.0021 "CEU"
0.0053 0.0028 "CEU"
0.0056 0.0032 "CEU"
0.0057 0.0029 "CEU"
0.0056 0.0024 "CEU"
0.0055 0.0026 "CEU"
0.0057 0.0024 "CEU"
0.0054 0.0021 "CEU"
0.0051 0.0025 "CEU"
0.0057 0.0028 "CEU"
0.006 0.0029 "CEU"
0.0058 0.0034 "CEU"
0.0055 0.0024 "CEU"
0.0059 0.0025 "CEU"
0.0062 0.0024 "CEU"
0.0054 0.0043 "CEU"
0.0058 0.0033 "CEU"
0.0057 0.0029 "CEU"
0.0059 0.0032 "CEU"
0.0056 0.003 "CEU"
0.0054 0.0026 "CEU"
0.0055 0.0027 "CEU"
0.006 0.0034 "CEU"
0.0052 0.0037 "CEU"
0.0049 0.0034 "CEU"
0.0053 0.0024 "CEU"
0.0057 0.003 "CEU"
0.0056 0.0022 "CEU"
0.0056 0.0039 "CEU"
0.0049 0.0028 "CEU"
0.0052 0.0026 "CEU"
0.0059 0.0042 "CEU"
0.006 0.0036 "CEU"
0.0059 0.0027 "CEU"
0.0053 0.0025 "CEU"
0.0052 0.0015 "CEU"
0.0056 0.0037 "CEU"
0.0054 0.0026 "CEU"
0.0054 0.0026 "CEU"
0.0046 0.0032 "CEU"
0.0054 0.0027 "CEU"
0.0056 0.002 "CEU"
0.0051 0.0028 "CEU"
0.0059 0.0019 "CEU"
0.0055 0.0029 "CEU"
0.0055 0.0035 "CEU"
0.0052 0.0029 "CEU"
0.0056 0.0023 "CEU"
0.005 0.0015 "CEU"
0.0055 0.0027 "CEU"
0.0053 0.0024 "CEU"
0.0057 0.0037 "CEU"
0.0054 0.003 "CEU"
0.0055 0.0026 "CEU"
0.0055 0.0024 "CEU"
0.0055 0.0031 "CEU"
0.0054 0.0026 "CEU"
0.0053 0.002 "CEU"
0.0059 0.0036 "CEU"
0.0057 0.0036 "CEU"
0.0051 0.0017 "CEU"
0.0056 0.0035 "CEU"
0.0052 0.0033 "CEU"
0.0053 0.0037 "CEU"
0.005 0.0025 "CEU"
0.0055 0.0035 "CEU"
0.0055 0.0024 "CEU"
0.0055 0.003 "CEU"
0.0054 0.0029 "CEU"
0.0057 0.0029 "CEU"
0.0053 0.0029 "CEU"
0.0056 0.0025 "CEU"
0.006 0.0038 "CEU"
0.0055 0.0031 "CEU"
0.0051 0.002 "CEU"
0.0055 0.0039 "CEU"
0.0057 0.0041 "CEU"
0.0061 0.0019 "CEU"
0.0061 0.003 "CEU"
0.0051 0.003 "CEU"
0.0055 0.0025 "CEU"
0.0058 0.0038 "CEU"
0.0054 0.0033 "CEU"
0.0063 0.0032 "CEU"
0.0057 0.0025 "CEU"
0.0054 0.0032 "CEU"
0.0048 0.0038 "CEU"
0.0052 0.0032 "CEU"
0.0048 0.0025 "CEU"
0.0051 0.0027 "CEU"
0.0049 0.0016 "CEU"
0.0053 0.0031 "CEU"
0.0052 0.0035 "CEU"
0.0058 0.0034 "CEU"
0.0055 0.0034 "CEU"
0.005 0.0036 "CEU"
0.0063 0.0041 "CEU"
0.0052 0.0026 "CEU"
0.0051 0.0032 "CEU"
0.0053 0.0031 "CEU"
0.0056 0.0022 "CEU"
0.0052 0.0039 "CEU"
0.0052 0.0032 "CEU"
0.0048 0.0039 "CEU"
0.0057 0.0024 "CEU"
0.0055 0.0031 "CEU"
0.0061 0.0028 "CEU"
0.0053 0.0024 "CEU"
0.0055 0.0035 "CEU"
0.005 0.0024 "CEU"
0.0055 0.0035 "CEU"
0.0052 0.0022 "CEU"
0.0061 0.004 "CEU"
0.0052 0.0032 "CEU"
0.0058 0.0022 "CEU"
0.0055 0.0029 "CEU"
0.0055 0.0018 "CEU"
0.0057 0.0026 "CEU"
0.0055 0.0033 "CEU"
0.0055 0.003 "CEU"
0.0056 0.003 "CEU"
0.0054 0.0026 "CEU"
0.0053 0.0032 "CEU"
0.0058 0.0031 "CEU"
0.0055 0.0024 "CEU"
0.0053 0.0035 "CEU"
0.0065 0.0026 "CEU"
0.0063 0.0032 "CEU"
0.0067 0.0035 "CEU"
0.0059 0.0021 "CEU"
0.0061 0.0027 "CEU"
0.0061 0.0029 "CEU"
0.006 0.0031 "CEU"
0.0057 0.0036 "CEU"
0.0058 0.0034 "CEU"
0.0054 0.0026 "CEU"
0.0057 0.0039 "CEU"
0.0058 0.0029 "CEU"
0.0055 0.0038 "CEU"
0.0054 0.0027 "CEU"
0.0054 0.004 "CEU"
0.0053 0.0035 "CEU"
0.005 0.0029 "CEU"
0.0056 0.0022 "CEU"
0.0058 0.0021 "CEU"
0.0056 0.0024 "CEU"
0.0051 0.002 "CEU"
0.0058 0.0014 "CEU"
0.005 0.0034 "CEU"
0.0054 0.0017 "CEU"
0.006 0.0017 "CEU"
0.005 0.0031 "CEU"
0.0055 0.0024 "CEU"
0.0054 0.0028 "CEU"
0.0054 0.0029 "CEU"
0.0052 0.0031 "CEU"
0.0057 0.0024 "CEU"
0.0056 0.0036 "CEU"
0.0054 0.0033 "CEU"
-0.0146 -0.055 "CHD"
-0.0147 -0.0559 "CHD"
-0.0148 -0.0565 "CHD"
-0.0144 -0.0547 "CHD"
-0.0144 -0.0545 "CHD"
-0.0146 -0.056 "CHD"
-0.0144 -0.0547 "CHD"
-0.0149 -0.0552 "CHD"
-0.0144 -0.056 "CHD"
-0.0147 -0.057 "CHD"
-0.0146 -0.0545 "CHD"
-0.0154 -0.0556 "CHD"
-0.0151 -0.0559 "CHD"
-0.0148 -0.0568 "CHD"
-0.0149 -0.0565 "CHD"
-0.0142 -0.0551 "CHD"
-0.0151 -0.0555 "CHD"
-0.0149 -0.0566 "CHD"
-0.0151 -0.0555 "CHD"
-0.0148 -0.0553 "CHD"
-0.0147 -0.0548 "CHD"
-0.0143 -0.0557 "CHD"
-0.0144 -0.055 "CHD"
-0.0142 -0.0554 "CHD"
-0.0147 -0.0556 "CHD"
-0.0144 -0.0555 "CHD"
-0.0141 -0.055 "CHD"
-0.0151 -0.0548 "CHD"
-0.0142 -0.0546 "CHD"
-0.0141 -0.055 "CHD"
-0.0147 -0.0561 "CHD"
-0.0142 -0.0551 "CHD"
-0.0146 -0.0567 "CHD"
-0.015 -0.0564 "CHD"
-0.0155 -0.0564 "CHD"
-0.0149 -0.0566 "CHD"
-0.0148 -0.0556 "CHD"
-0.0143 -0.0558 "CHD"
-0.0145 -0.0544 "CHD"
-0.0144 -0.0553 "CHD"
-0.0145 -0.0564 "CHD"
-0.014 -0.0552 "CHD"
-0.014 -0.0563 "CHD"
-0.0145 -0.0555 "CHD"
-0.0147 -0.0563 "CHD"
-0.0145 -0.0549 "CHD"
-0.0145 -0.0555 "CHD"
-0.0149 -0.0557 "CHD"
-0.0144 -0.0553 "CHD"
-0.0144 -0.0559 "CHD"
-0.0149 -0.0568 "CHD"
-0.0146 -0.0556 "CHD"
-0.0141 -0.0514 "CHD"
-0.0147 -0.0552 "CHD"
-0.0146 -0.0551 "CHD"
-0.015 -0.0556 "CHD"
-0.0146 -0.0563 "CHD"
-0.0146 -0.056 "CHD"
-0.014 -0.0542 "CHD"
-0.0148 -0.0559 "CHD"
-0.0149 -0.0554 "CHD"
-0.0141 -0.0554 "CHD"
-0.0141 -0.0563 "CHD"
-0.0143 -0.0552 "CHD"
-0.0151 -0.0569 "CHD"
-0.0151 -0.0561 "CHD"
-0.0147 -0.0554 "CHD"
-0.0147 -0.0553 "CHD"
-0.0148 -0.0556 "CHD"
-0.0151 -0.0567 "CHD"
-0.0147 -0.0545 "CHD"
-0.0145 -0.0558 "CHD"
-0.0146 -0.0559 "CHD"
-0.0146 -0.0556 "CHD"
-0.0144 -0.0554 "CHD"
-0.0149 -0.0565 "CHD"
-0.0445 0.017 "YRI"
-0.0449 0.0174 "YRI"
-0.0447 0.0161 "YRI"
-0.0449 0.0173 "YRI"
-0.0443 0.0169 "YRI"
-0.0447 0.0167 "YRI"
-0.0447 0.0163 "YRI"
-0.0444 0.0161 "YRI"
-0.0445 0.0164 "YRI"
-0.0438 0.0161 "YRI"
-0.0446 0.0163 "YRI"
-0.045 0.0174 "YRI"
-0.0451 0.0167 "YRI"
-0.0446 0.017 "YRI"
-0.0444 0.0165 "YRI"
-0.0443 0.0166 "YRI"
-0.0449 0.0165 "YRI"
-0.0442 0.0153 "YRI"
-0.0448 0.0159 "YRI"
-0.0448 0.0162 "YRI"
-0.0448 0.0176 "YRI"
-0.0451 0.0173 "YRI"
-0.0444 0.0174 "YRI"
-0.0444 0.0168 "YRI"
-0.0442 0.0166 "YRI"
-0.043 0.0162 "YRI"
-0.0142 -0.0543 "CHB"
-0.0149 -0.0554 "CHB"
-0.0148 -0.0558 "CHB"
-0.0147 -0.0555 "CHB"
-0.0144 -0.0549 "CHB"
-0.0144 -0.0555 "CHB"
-0.0142 -0.0551 "CHB"
-0.0148 -0.0546 "CHB"
-0.0148 -0.0564 "CHB"
-0.0144 -0.0556 "CHB"
-0.0148 -0.0559 "CHB"
-0.015 -0.0561 "CHB"
-0.0145 -0.0554 "CHB"
-0.0142 -0.0545 "CHB"
-0.0144 -0.0558 "CHB"
-0.015 -0.0549 "CHB"
-0.0148 -0.056 "CHB"
-0.0142 -0.055 "CHB"
-0.0147 -0.055 "CHB"
-0.0141 -0.0545 "CHB"
-0.0144 -0.0551 "CHB"
-0.0142 -0.0553 "CHB"
-0.0147 -0.0543 "CHB"
-0.0144 -0.0547 "CHB"
-0.0147 -0.0564 "CHB"
-0.0147 -0.055 "CHB"
-0.015 -0.0574 "CHB"
-0.0147 -0.0541 "CHB"
-0.0145 -0.0547 "CHB"
-0.0144 -0.0559 "CHB"
-0.015 -0.0552 "CHB"
-0.0145 -0.0564 "CHB"
-0.0144 -0.0554 "CHB"
-0.0151 -0.0561 "CHB"
-0.0156 -0.0557 "CHB"
-0.0143 -0.056 "CHB"
-0.0152 -0.0569 "CHB"
-0.0143 -0.0557 "CHB"
-0.0149 -0.0554 "CHB"
-0.0145 -0.0548 "CHB"
-0.0145 -0.0558 "CHB"
-0.0145 -0.056 "CHB"
-0.0142 -0.055 "CHB"
-0.0144 -0.0545 "CHB"
-0.0142 -0.0551 "CHB"
-0.0149 -0.055 "CHB"
-0.015 -0.0563 "CHB"
-0.0137 -0.054 "CHB"
-0.0141 -0.0561 "CHB"
-0.0147 -0.0554 "CHB"
-0.0142 -0.055 "CHB"
-0.0143 -0.0552 "CHB"
-0.015 -0.0543 "CHB"
-0.0149 -0.0549 "CHB"
