Original comparison	Species	Majority protein IDs	Fasta headers	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	A1	A2	A3	B1	B2	B3
50Vs0.5	UPS	P63279ups	>P63279ups|UBC9_HUMAN_UPS SUMO-conjugating enzyme UBC9 (Chain 1-158) - Homo sapiens (Human)	7	7	7	53.8	53.8	53.8	18.007	1.13E+08	1.12E+08	1.12E+08			
50Vs0.5	UPS	P01375ups	>P01375ups|TNFA_HUMAN_UPS Tumor necrosis factor, soluble form (Chain 77-233) - Homo sapiens (Human)	6	6	6	66.2	66.2	66.2	17.352	3.93E+08	3.83E+08	3.90E+08			
50Vs0.5	UPS	P00167ups	>P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)	7	7	7	55.7	55.7	55.7	16.153	2.49E+08	2.56E+08	2.56E+08			
50Vs0.5	UPS	P02787ups	>P02787ups|TRFE_HUMAN_UPS Serotransferrin (Chain 20-698) - Homo sapiens (Human)	28	28	27	48.7	48.7	47.4	75.181	6.41E+08	6.70E+08	6.65E+08			
50Vs0.5	UPS	P00915ups	>P00915ups|CAH1_HUMAN_UPS Carbonic anhydrase 1 (Chain 2-261) - Homo sapiens (Human)	9	9	9	51.5	51.5	51.5	28.739	2.51E+08	2.61E+08	2.57E+08			
50Vs0.5	UPS	P68871ups	>P68871ups|HBB_HUMAN_UPS Hemoglobin subunit beta (Chain 2-147) - Homo sapiens (Human)	10	10	10	87.7	87.7	87.7	15.867	3.23E+08	3.08E+08	3.14E+08			
50Vs0.5	UPS	P51965ups	>P51965ups|UB2E1_HUMAN_UPS Ubiquitin-conjugating enzyme E2 E1 (Chain 1-193, N terminal His tag)- Homo sapiens (Human)	4	4	4	33.7	33.7	33.7	22.227	9.44E+07	9.52E+07	9.27E+07			
50Vs0.5	UPS	P04040ups	>P04040ups|CATA_HUMAN_UPS Catalase (Chain 2-527) - Homo sapiens (Human)	25	25	25	56.5	56.5	56.5	59.624	9.93E+08	9.97E+08	1.07E+09			
50Vs0.5	UPS	P55957ups	>P55957ups|BID_HUMAN_UPS BH3-interacting domain death agonist (Chain 1-195) - Homo sapiens (Human)	7	7	7	52.8	52.8	52.8	21.994	2.84E+08	2.98E+08	2.83E+08			
50Vs0.5	UPS	P01579ups	>P01579ups|IFNG_HUMAN_UPS Interferon Gamma (Chain 23-166) - Homo sapiens (Human)	5	5	5	45.5	45.5	45.5	16.776	1.93E+08	1.96E+08	2.04E+08			
50Vs0.5	UPS	P62937ups	>P62937ups|PPIA_HUMAN_UPS Peptidyl-prolyl cis-trans isomerase A (Chain 1-165, N terminal His tag)- Homo sapiens (Human)	6	6	6	24.9	24.9	24.9	20.176	1.60E+08	1.54E+08	1.52E+08			
50Vs0.5	UPS	P02144ups	>P02144ups|MYG_HUMAN_UPS Myoglobin (Chain 2-154) - Homo sapiens (Human)	7	7	7	62.1	62.1	62.1	17.052	2.11E+08	2.19E+08	2.26E+08			
50Vs0.5	UPS	P00441ups	>P00441ups|SODC_HUMAN_UPS Superoxide dismutase [Cu-Zn] (Chain 2-154) - Homo sapiens (Human)	4	4	4	43.8	43.8	43.8	15.804	1.15E+08	1.13E+08	1.20E+08			
50Vs0.5	UPS	P01112ups	>P01112ups|RASH_HUMAN_UPS GTPase HRas (Chain 1-189) - Homo sapiens (Human)	7	7	7	54.5	54.5	54.5	21.298	1.65E+08	1.74E+08	1.77E+08			
50Vs0.5	UPS	P01127ups	>P01127ups|PDGFB_HUMAN_UPS Platelet-derived growth factor B chain (Chain 82-190) - Homo sapiens (Human)	6	6	6	64.2	64.2	64.2	12.294	1.54E+08	1.64E+08	1.64E+08			
50Vs0.5	UPS	P00709ups	>P00709ups|LALBA_HUMAN_UPS Alpha-lactalbumin (Chain 20-142) - Homo sapiens (Human)	5	5	5	39	39	39	14.078	1.68E+08	1.56E+08	1.59E+08			
50Vs0.5	UPS	O00762ups	>O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)	8	8	8	70.3	70.3	70.3	20.475	4.52E+08	4.19E+08	4.61E+08			
50Vs0.5	UPS	P61626ups	>P61626ups|LYSC_HUMAN_UPS Lysozyme C (Chain 19-148) - Homo sapiens (Human)	5	5	5	48.5	48.5	48.5	14.701	2.29E+08	2.44E+08	2.49E+08			
50Vs0.5	UPS	P01344ups	>P01344ups|IGF2_HUMAN_UPS Insulin-like growth factor II (Chain 25-91) - Homo sapiens (Human)	3	3	3	73.1	73.1	73.1	7.4754	2.08E+08	2.16E+08	2.31E+08			
50Vs0.5	UPS	P02753ups	>P02753ups|RET4_HUMAN Retinol-binding protein 4 OS=Homo sapiens GN=RBP4 PE=1 SV=3	4	4	4	29.9	29.9	29.9	23.01	8.00E+07	8.22E+07	8.64E+07			
50Vs0.5	UPS	P63165ups	>P63165ups|SUMO1_HUMAN_UPS Small ubiquitin-related modifier 1 (Chain 1-97, N-terminal GST tag) - Homo sapiens (Human)	10	10	10	28.3	28.3	28.3	38.814	3.07E+08	2.75E+08	2.80E+08			
50Vs0.5	UPS	P01031ups	>P01031ups|CO5_HUMAN_UPS Complement C5 (C5a anaphylatoxin) (Chain 678-751) - Homo sapiens (Human)	4	4	4	67.6	67.6	67.6	8.2736	8.46E+07	8.71E+07	9.19E+07			
50Vs0.5	UPS	P06396ups;CON__Q3SX14	>P06396ups|GELS_HUMAN_UPS Gelsolin (Chain 28-782) - Homo sapiens (Human);>Q3SX14 TREMBL:Q3SX14 (Bos taurus) Similar to Gelsolin	24	24	24	40.4	40.4	40.4	82.958	8.86E+08	8.75E+08	8.93E+08		4.08E+06	
